COD_INE,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,ARCHIVO_TMY
03028000000,03,Alacant/Alicante,Beniarrés,1083,-0.37904234,38.82007885,385.0,03028000000_Beniarrés.csv
03029000000,03,Alacant/Alicante,Benigembla,483,-0.10982699,38.75633514,311.0,03029000000_Benigembla.csv
03030000000,03,Alacant/Alicante,Benidoleig,1166,-0.03173239,38.791917,124.0,03030000000_Benidoleig.csv
03031000000,03,Alacant/Alicante,Benidorm,69118,-0.1306853,38.53427136,11.0,03031000000_Benidorm.csv
03032000000,03,Alacant/Alicante,Benifallim,103,-0.39922559,38.66273419,738.0,03032000000_Benifallim.csv
03033000000,03,Alacant/Alicante,Benifato,135,-0.22888967,38.67369418,663.0,03033000000_Benifato.csv
03034000000,03,Alacant/Alicante,Benijófar,3323,-0.73828051,38.0808408,22.0,03034000000_Benijófar.csv
03035000000,03,Alacant/Alicante,Benilloba,737,-0.3908201,38.69955909,521.0,03035000000_Benilloba.csv
03036000000,03,Alacant/Alicante,Benillup,101,-0.3789958,38.75380301,564.0,03036000000_Benillup.csv
03037000000,03,Alacant/Alicante,Benimantell,501,-0.20984798,38.67659254,546.0,03037000000_Benimantell.csv
03038000000,03,Alacant/Alicante,Benimarfull,397,-0.39099875,38.77584801,414.0,03038000000_Benimarfull.csv
03039000000,03,Alacant/Alicante,Benimassot,97,-0.291855,38.74905825,725.0,03039000000_Benimassot.csv
03040000000,03,Alacant/Alicante,Benimeli,415,-0.04146491,38.82296616,93.0,03040000000_Benimeli.csv
03041000000,03,Alacant/Alicante,Benissa,11462,0.05043358,38.7151969,254.0,03041000000_Benissa.csv
03042000000,03,Alacant/Alicante,el Poble Nou de Benitatxell/Benitachell,4447,0.144742727,38.73241632,159.0,03042000000_el Poble Nou de Benitatxell__Benitachell.csv
03043000000,03,Alacant/Alicante,Biar,3628,-0.76597374,38.62996229,697.0,03043000000_Biar.csv
03044000000,03,Alacant/Alicante,Bigastro,6994,-0.89528476,38.06301558,23.0,03044000000_Bigastro.csv
03045000000,03,Alacant/Alicante,Bolulla,426,-0.11168494,38.67657681,213.0,03045000000_Bolulla.csv
03046000000,03,Alacant/Alicante,Busot,3207,-0.42050568,38.4819618,312.0,03046000000_Busot.csv
03047000000,03,Alacant/Alicante,Calp,23530,0.04453809,38.64526261,55.0,03047000000_Calp.csv
03048000000,03,Alacant/Alicante,Callosa d'en Sarrià,7589,-0.12235041,38.65164066,250.0,03048000000_Callosa d'en Sarrià.csv
03049000000,03,Alacant/Alicante,Callosa de Segura,19273,-0.87933854,38.12258136,20.0,03049000000_Callosa de Segura.csv
03050000000,03,Alacant/Alicante,el Campello,29013,-0.40086509,38.42754724,26.0,03050000000_el Campello.csv
03051000000,03,Alacant/Alicante,el Camp de Mirra/Campo de Mirra,429,-0.778961778,38.68728729,585.0,03051000000_el Camp de Mirra__Campo de Mirra.csv
03052000000,03,Alacant/Alicante,Cañada,1191,-0.80952172,38.67518917,556.0,03052000000_Cañada.csv
03053000000,03,Alacant/Alicante,Castalla,10752,-0.67026538,38.59657643,669.0,03053000000_Castalla.csv
03054000000,03,Alacant/Alicante,Castell de Castells,425,-0.19391054,38.72499704,549.0,03054000000_Castell de Castells.csv
03055000000,03,Alacant/Alicante,Catral,8880,-0.80464175,38.15964959,8.0,03055000000_Catral.csv
03056000000,03,Alacant/Alicante,Cocentaina,11451,-0.44022067,38.74541202,433.0,03056000000_Cocentaina.csv
03057000000,03,Alacant/Alicante,Confrides,271,-0.26810894,38.68353731,780.0,03057000000_Confrides.csv
03058000000,03,Alacant/Alicante,Cox,7427,-0.88437585,38.13972138,16.0,03058000000_Cox.csv
03059000000,03,Alacant/Alicante,Crevillent,29717,-0.80855322,38.24881414,129.0,03059000000_Crevillent.csv
03060000000,03,Alacant/Alicante,Quatretondeta,117,-0.31641906,38.72386675,620.0,03060000000_Quatretondeta.csv
03061000000,03,Alacant/Alicante,Daya Nueva,1757,-0.76103525,38.11371672,8.0,03061000000_Daya Nueva.csv
03062000000,03,Alacant/Alicante,Daya Vieja,707,-0.73805702,38.1047248,6.0,03062000000_Daya Vieja.csv
03063000000,03,Alacant/Alicante,Dénia,42953,0.10661934,38.84122705,13.0,03063000000_Dénia.csv
03064000000,03,Alacant/Alicante,Dolores,7620,-0.76969869,38.13897736,4.0,03064000000_Dolores.csv
03065000000,03,Alacant/Alicante,Elx/Elche,234205,-0.698854923,38.26536234,81.0,03065000000_Elx__Elche.csv
03066000000,03,Alacant/Alicante,Elda,52551,-0.79611046,38.47878894,395.0,03066000000_Elda.csv
03067000000,03,Alacant/Alicante,Fageca,105,-0.26771337,38.73467536,769.0,03067000000_Fageca.csv
03068000000,03,Alacant/Alicante,Famorca,45,-0.24604552,38.73219338,684.0,03068000000_Famorca.csv
03069000000,03,Alacant/Alicante,Finestrat,7402,-0.2117688,38.56697349,264.0,03069000000_Finestrat.csv
03070000000,03,Alacant/Alicante,Formentera del Segura,4337,-0.74649853,38.08423377,8.0,03070000000_Formentera del Segura.csv
03071000000,03,Alacant/Alicante,Gata de Gorgos,6223,0.08427495,38.7732101,79.0,03071000000_Gata de Gorgos.csv
03072000000,03,Alacant/Alicante,Gaianes,505,-0.40755768,38.81311114,420.0,03072000000_Gaianes.csv
03073000000,03,Alacant/Alicante,Gorga,261,-0.35671735,38.71833445,542.0,03073000000_Gorga.csv
03074000000,03,Alacant/Alicante,Granja de Rocamora,2609,-0.89001674,38.15262779,17.0,03074000000_Granja de Rocamora.csv
03075000000,03,Alacant/Alicante,el Castell de Guadalest,243,-0.19735239,38.67694213,571.0,03075000000_el Castell de Guadalest.csv
03076000000,03,Alacant/Alicante,Guardamar del Segura,15983,-0.65477035,38.08988071,27.0,03076000000_Guardamar del Segura.csv
03077000000,03,Alacant/Alicante,el Fondó de les Neus/Hondón de las Nieves,2634,-0.85486637,38.30855695,367.0,03077000000_el Fondó de les Neus__Hondón de las Nieves.csv
03078000000,03,Alacant/Alicante,Hondón de los Frailes,1299,-0.92699487,38.27358559,413.0,03078000000_Hondón de los Frailes.csv
03079000000,03,Alacant/Alicante,Ibi,23652,-0.57466482,38.62745682,754.0,03079000000_Ibi.csv
03080000000,03,Alacant/Alicante,Jacarilla,2030,-0.86635637,38.06070041,25.0,03080000000_Jacarilla.csv
03081000000,03,Alacant/Alicante,Xaló,2892,-0.01192072,38.74069906,188.0,03081000000_Xaló.csv
03082000000,03,Alacant/Alicante,Xàbia/Jávea,27983,0.163523555,38.78906246,46.0,03082000000_Xàbia__Jávea.csv
03083000000,03,Alacant/Alicante,Xixona/Jijona,6861,-0.507189631,38.53941113,448.0,03083000000_Xixona__Jijona.csv
03084000000,03,Alacant/Alicante,l'Orxa/Lorcha,584,-0.311838984,38.84540041,261.0,03084000000_l'Orxa__Lorcha.csv
03085000000,03,Alacant/Alicante,Llíber,883,0.006304,38.74347137,191.0,03085000000_Llíber.csv
03086000000,03,Alacant/Alicante,Millena,242,-0.36337482,38.73087323,635.0,03086000000_Millena.csv
03088000000,03,Alacant/Alicante,Monforte del Cid,8500,-0.72989187,38.37928097,228.0,03088000000_Monforte del Cid.csv
03089000000,03,Alacant/Alicante,Monòver/Monóvar,12188,-0.839000344,38.43694476,389.0,03089000000_Monòver__Monóvar.csv
03090000000,03,Alacant/Alicante,Mutxamel,25679,-0.44522331,38.41368396,63.0,03090000000_Mutxamel.csv
03091000000,03,Alacant/Alicante,Murla,549,-0.08306874,38.75958883,283.0,03091000000_Murla.csv
03092000000,03,Alacant/Alicante,Muro de Alcoy,9326,-0.4357044,38.77998192,391.0,03092000000_Muro de Alcoy.csv
03093000000,03,Alacant/Alicante,Novelda,25611,-0.76539782,38.38606382,241.0,03093000000_Novelda.csv
03094000000,03,Alacant/Alicante,la Nucia,18108,-0.12289748,38.61761623,216.0,03094000000_la Nucia.csv
03095000000,03,Alacant/Alicante,Ondara,7080,0.01764367,38.82692459,36.0,03095000000_Ondara.csv
03096000000,03,Alacant/Alicante,Onil,7569,-0.6740463,38.62952092,701.0,03096000000_Onil.csv
03097000000,03,Alacant/Alicante,Orba,2233,-0.06371253,38.78039233,154.0,03097000000_Orba.csv
03098000000,03,Alacant/Alicante,Orxeta,787,-0.2618598,38.56400384,176.0,03098000000_Orxeta.csv
03099000000,03,Alacant/Alicante,Orihuela,78940,-0.949954565,38.08522582,24.0,03099000000_Orihuela.csv
03100000000,03,Alacant/Alicante,Parcent,983,-0.06446788,38.74571695,290.0,03100000000_Parcent.csv
03101000000,03,Alacant/Alicante,Pedreguer,8006,0.03432468,38.7935383,85.0,03101000000_Pedreguer.csv
03102000000,03,Alacant/Alicante,Pego,10240,-0.11803172,38.84201714,82.0,03102000000_Pego.csv
